category,name,lvl,Qu,AT,hits,PP,size,OB melee,OB missile,OB magic,DB,DBm,comment,enc,immune,weakness,piclink,spells,
Animals,Rat,1,20,1,10,0,S,20 T Bi/20 S Bi,0xx,0xx/24 Fb,30,20,"The rat family produces some of the world’s most adaptable animals. Small rodents, they are omnivorous mammals known for long, thin tails, short legs, relatively large heads, and incredibly flexible bodies. They are quick scurriers, adept climbers, and strong swimmers. With their strong gnawing teeth and malleable bone structure, these creatures burrow their way through or into virtually any unarmored nook. Some (10%) rats produce a litter every 21-50 days. Also, some (5%) carry deadly diseases, either with their associated vermin (e.g., fleas) or internally (the latter communicated with a bite).






",2-20,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/giant_rat.png,,
Apsanakuni (Meat-Eaters),Black Bears,5,4,8,150,0,L,65 L Gr/60 L Cl/40 M Bi/70 M Ba,0xx,0xx,20,0,"Agressive, noctual Hunters









",1-5,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Beorninger.jpg,,
Apsanakuni (Meat-Eaters),Sheep Hounds,5,12,4,140,0,M,80 M Bi,0xx,0xx,55,0,"Monesticated, fearless Dogs









",1-5,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/grey_wolf.jpg,,
Campagne Hogo Tarosvan,Baen Naeld,1,5,1,10,0,M,10 H cl,0xx,0xx,10,10,"







",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Baen_Naeld.jpeg,,
Campagne Hogo Tarosvan,Baega,1,20,1,10,0,S,10 M cl,10 sl,0xx,15,15,"








",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Braega.jpeg,,
Campagne Hogo Tarosvan,Brem,1,10,1,20,0,M,20 H cl,15 sl,0xx,20,20,"








",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Brem.jpeg,,
Campagne Hogo Tarosvan,Briannon,1,10,1,20,0,M,20 H cl,15 sl,0xx,20,20,"








",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Briannon.jpeg,,
Campagne Hogo Tarosvan,Brunwen,1,10,1,20,0,M,20 H cl,15 sl,0xx,20,20,"









",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Brunwen.jpeg,,
Campagne Hogo Tarosvan,Caradog,1,5,1,10,0,M,10 H cl,0xx,0xx,10,10,"Der Vater von Miren





",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Caradog.jpeg,,
Campagne Hogo Tarosvan,Celebriel,1,10,1,29,1,M,20 H ss,0xx,0xx,5,5,"Dieser junge (1. Ivl) Dunadan-Heilerin (Animist) wurde entführt beim Sammeln von Kräutern in der Nähe der Gräberfelder auf dem Blauen Butte, direkt über den sieben Mündungen von Hogo Tarosvan.
Neugierig und rebellisch, ignorierte sie die Warnungen ihrer Tante Tante und ihres Bruders und schlüpfte in den kühlen Nebel der Nacht. Sie wird in einer Woche oder so ""getestet"" werden.
Celebriel hat hellbraunes Haar, graue Augen und eine sternförmige Narbe auf ihrer linken Wange. Ihr spitzenbesetzter Rock, ihr goldener Umhang und ihre lyrische Sprache zeugen von einem besonderen Sinn für Unpraktikabilität. Sie ist nicht besonders zuverlässig, aber einzigartig und seltsam liebenswert.







",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/celebriel.jpeg,,
Campagne Hogo Tarosvan,Cigfa,1,20,1,10,0,M,10 M cl,10 sl,0xx,15,15,"









",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/cigfa.jpeg,,
Campagne Hogo Tarosvan,Chaen,1,20,1,10,0,M,10 H cl,10 sl,0xx,,15,"Thebos Sohn










",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Chaen.jpeg,,
Campagne Hogo Tarosvan,Dervorin,2,5,1,40,0,M,47 H bs,0xx,0xx,10,10,"

Dieser (2. Ivl) Waldläufer ist ein neuer Bewohner von Hogo Tarosvan. Er ist ein 6'2"" großer Dunadan, der vor vier Monaten überwältigt (es waren vier Gefangene nötig) und hierher gebracht wurde. Seine Frau, sein Vater und sein Sohn wurden in dem darauf folgenden Gefecht getötet, was Shoglic verärgerte (der lebende Gefangene verlangt).
Dervorin erfuhr nie das Schicksal seiner Familie und wurde bewusstlos vor den Alten Mann der Schlucht gebracht. Er bestand die Prüfung und und schon sieht Dervorin ein wenig hager aus und seine Augen leuchten mit der religiösen Inbrunst des Volkes von Shoglic.








",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/dervorin.jpeg,,
Campagne Hogo Tarosvan,Dian,1,5,1,10,0,M,10 H cl,0xx,0xx,10,10,"Frau von Orvig








",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Dian.jpeg,,
Campagne Hogo Tarosvan,Emaka,1,15,1,15,0,M,15 H cl,15 sl,0xx,15,15,"










",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Emaka.jpeg,,
Campagne Hogo Tarosvan,Geymun,1,5,1,10,0,M,10 H cl,0xx,0xx,10,10,"









",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Geymun.jpeg,,
Campagne Hogo Tarosvan,Goewin,1,10,1,20,0,M,20 H cl,15 sl,0xx,20,20,"








",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/goewin.jpeg,,
Campagne Hogo Tarosvan,Goewin,1,10,1,20,0,M,20 H cl,15 sl,0xx,20,20,"








",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/,,
Campagne Hogo Tarosvan,Gwun,1,5,1,10,0,M,10 H cl,0xx,,10,10,"Mutter von Thebo









",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Gwun.jpeg,,
Campagne Hogo Tarosvan,Gwydeth,1,15,1,15,0,M,15 H cl,15 sl,,15,15,"










",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Gwydeth.jpeg,,
Campagne Hogo Tarosvan,Haega,1,20,1,10,0,M,10 M cl,10 sl,,15,15,"









",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Haega.jpeg,,
Campagne Hogo Tarosvan,Hescen,1,1,1,15,0,M,15 H cl,15 sl,,15,15,"Tochter von Goewin




",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/hescen.jpeg,,
Campagne Hogo Tarosvan,Hwen,1,10,1,20,0,M,20 H cl,15 sl,,20,20,"Frau von Leu





",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Hwen.jpeg,,
Campagne Hogo Tarosvan,Is Coed,1,10,1,20,0,M,20 H cl,15 sl,,20,20,"





",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/ISCoed.jpeg,,
Campagne Hogo Tarosvan,Kollan,1,10,1,20,0,M,20 H cl,15 sl,0xx,20,20,"Sohn von Orvig



",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Kollan.jpeg,,
Campagne Hogo Tarosvan,Leu,1,10,1,20,0,M,20 H cl,15 sl, 0xx,20,20,"




",1-1,,,/home/mongol/git/rpg-tools/src/data/default/pics_nsc/Leu.jpeg,,
